k = 2 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 400 | cluster size:(mean, std) = (39.0625. 28.823923982518412)
k = 2 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 540 | cluster size:(mean, std) = (28.935185185185187. 19.999941272204584)
k = 2 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 680 | cluster size:(mean, std) = (22.977941176470587. 17.47614631086879)
k = 2 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 850 | cluster size:(mean, std) = (18.44746162927981. 15.413444661053736)
k = 3 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 560 | cluster size:(mean, std) = (28.10251798561151. 21.056243476536874)
k = 3 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 780 | cluster size:(mean, std) = (20.10939510939511. 16.30562754374996)
k = 3 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 960 | cluster size:(mean, std) = (16.395592864637987. 13.29580567596265)
k = 3 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 1150 | cluster size:(mean, std) = (13.598781549173195. 11.130839801468742)
k = 4 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 720 | cluster size:(mean, std) = (21.70138888888889. 17.674322186088336)
k = 4 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 990 | cluster size:(mean, std) = (15.895218718209563. 13.499112948061153)
k = 4 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 1240 | cluster size:(mean, std) = (12.662074554294975. 10.785821365838146)
k = 4 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 1450 | cluster size:(mean, std) = (10.828135828135828. 9.851896253809544)
k = 5 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 860 | cluster size:(mean, std) = (18.51303317535545. 16.636084539618267)
k = 5 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 1170 | cluster size:(mean, std) = (13.389031705227078. 11.99297779418212)
k = 5 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 1440 | cluster size:(mean, std) = (10.858234885337039. 10.370853740569082)
k = 5 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 1700 | cluster size:(mean, std) = (9.22917897223863. 8.556510271164194)
k = 6 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 1000 | cluster size:(mean, std) = (15.625. 14.88880032104669)
k = 6 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 1350 | cluster size:(mean, std) = (11.608469539375928. 10.901581310628837)
k = 6 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 1680 | cluster size:(mean, std) = (9.30613460393091. 9.563388309488332)
k = 6 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 1950 | cluster size:(mean, std) = (8.01693175987686. 8.203555813773644)
k = 7 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 1120 | cluster size:(mean, std) = (13.988361683079678. 13.751759021590518)
k = 7 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 1500 | cluster size:(mean, std) = (10.430574098798397. 10.367457034296985)
k = 7 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 1880 | cluster size:(mean, std) = (8.320021299254526. 8.698556892515327)
k = 7 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 2200 | cluster size:(mean, std) = (7.115209471766849. 7.663751287089479)
k = 8 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 1240 | cluster size:(mean, std) = (12.641585760517799. 11.810813927951934)
k = 8 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 1680 | cluster size:(mean, std) = (9.339509862522414. 9.365116895367061)
k = 8 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 2040 | cluster size:(mean, std) = (7.723677706376669. 8.418388877866944)
k = 8 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 2400 | cluster size:(mean, std) = (6.513130471029596. 7.139920484346136)
k = 9 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 1360 | cluster size:(mean, std) = (11.497424576894776. 11.81441421991956)
k = 9 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 1830 | cluster size:(mean, std) = (8.580450302031851. 9.239371620170584)
k = 9 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 2240 | cluster size:(mean, std) = (6.975446428571429. 7.64881087728124)
k = 9 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 2600 | cluster size:(mean, std) = (6.014241724403387. 6.828946931109704)
k = 10 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 1460 | cluster size:(mean, std) = (10.70938999314599. 11.21045425868866)
k = 10 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 1950 | cluster size:(mean, std) = (8.021047227926077. 8.761092618647108)
k = 10 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 2400 | cluster size:(mean, std) = (6.513130471029596. 7.387599774300508)
k = 10 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 2750 | cluster size:(mean, std) = (5.696317900109369. 6.7655933175647665)
k = 11 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 1580 | cluster size:(mean, std) = (9.914340101522843. 10.633590463156745)
k = 11 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 2100 | cluster size:(mean, std) = (7.447569113441372. 8.486818484552495)
k = 11 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 2560 | cluster size:(mean, std) = (6.1154598825831705. 6.98886280177893)
k = 11 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 2950 | cluster size:(mean, std) = (5.302002035968782. 6.334023750138498)
k = 12 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 1680 | cluster size:(mean, std) = (9.300595238095237. 10.493626166482304)
k = 12 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 2220 | cluster size:(mean, std) = (7.050992779783393. 8.213180550460372)
k = 12 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 2680 | cluster size:(mean, std) = (5.832400149309444. 7.053778056482618)
k = 12 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 3100 | cluster size:(mean, std) = (5.053363518758085. 6.26759347868365)
k = 13 | coreset iteration sample size = 20 | median_sample_size = 20 ## coreset size = 1780 | cluster size:(mean, std) = (8.79786036036036. 9.81599953001698)
k = 13 | coreset iteration sample size = 30 | median_sample_size = 20 ## coreset size = 2340 | cluster size:(mean, std) = (6.683062446535501. 7.944314031903782)
k = 13 | coreset iteration sample size = 40 | median_sample_size = 20 ## coreset size = 2840 | cluster size:(mean, std) = (5.513408609738885. 6.736234047563465)
k = 13 | coreset iteration sample size = 50 | median_sample_size = 20 ## coreset size = 3250 | cluster size:(mean, std) = (4.810652709359606. 5.9704875425004245)
